"","sg","uk","us"
"1",0,0,0
"2",0,0,0
"3",0,0,0
"4",0,0,0
"5",0,0,0
"6",0,0,0
"7",0,0,0
"8",0,0,0
"9",0,0,0
"10",0,0,0
"11",0,0,0
"12",0,0,0
"13",0,0,0
"14",0,0,0
"15",0,0,0
"16",0,0,0
"17",0,0,0
"18",0,0,0
"19",0,0,0
"20",0,0,0
"21",0,0,0
"22",0,0,0
"23",0,0,0
"24",0,0,0
"25",0,0,0
"26",0,0,0
"27",0,0,0
"28",0,0,0
"29",0,0,0
"30",0,0,0
"31",0,0,0
"32",0,0,0
"33",0,0,0
"34",0,0,0
"35",0,0,0
"36",0,0,0
"37",0,0,0
"38",0,0,0
"39",0,0,0
"40",0,0,0
"41",0,0,0
"42",0,0,0
"43",0,0,0
"44",0,0,0
"45",0,0,0
"46",0,0,0
"47",0,0,0
"48",0,0,0
"49",0,0,0
"50",0,0,0
"51",0,0,0
"52",0,0,0
"53",0,0,0
"54",0,0,0
"55",0,0,0
"56",0,0,0
"57",0,0,0
"58",0,0,0
"59",0,0,0
"60",0,0,0
"61",0,0,0
"62",0,0,0
"63",0,0,0
"64",0,0,0
"65",0,0,0
"66",0,0,0
"67",0,0,0
"68",0,0,0
"69",0,0,0
"70",0,0,0
"71",0,0,0
"72",0,0,0
"73",0,0,0
"74",0,0,0
"75",0,0,0
"76",0,0,0
"77",0,0,0
"78",0,0,0
"79",0,0,0
"80",0,0,0
"81",0,0,0
"82",0,0,0
"83",0,0,0
"84",0,0,0
"85",0,0,0
"86",0,0,0
"87",0,0,0
"88",0,0,0
"89",0,0,0
"90",0,0,0
"91",0,0,0
"92",0,0,0
"93",0,0,0
"94",0,0,0
"95",0,0,0
"96",0,0,0
"97",0,0,0
"98",0,0,0
"99",0,0,0
"100",0,0,0
"101",0,0,0
"102",0,0,0
"103",0,0,0
"104",0,0,0
"105",0,0,0
"106",0,0,0
"107",0,0,0
"108",0,0,0
"109",0,0,0
"110",0,0,0
"111",0,0,0
"112",0,0,0
"113",0,0,0
"114",0,0,0
"115",0,0,0
"116",0,0,0
"117",0,0,0
"118",0,0,0
"119",0,0,0
"120",0,0,0
"121",0,0,0
"122",0,0,0
"123",0,0,0
"124",0,0,0
"125",0,0,0
"126",0,0,0
"127",0,0,0
"128",0,0,0
"129",0,0,0
"130",0,0,0
"131",0,0,0
"132",0,0,0
"133",0,0,0
"134",0,0,0
"135",0,0,0
"136",0,0,0
"137",0,0,0
"138",0,0,0
"139",0,0,0
"140",0,0,0
"141",0,0,0
"142",0,0,0
"143",0,0,0
"144",0,0,0
"145",0,0,0
"146",0,0,0
"147",0,0,0
"148",0,0,0
"149",0,0,0
"150",0,0,0
"151",0,0,0
"152",0,0,0
"153",0,0,0
"154",0,0,0
"155",0,0,0
"156",0,0,0
"157",0,0,0
"158",0,0,0
"159",0,0,0
"160",0,0,0
"161",0,0,0
"162",0,0,0
"163",0,0,0
"164",0,0,0
"165",0,0,0
"166",0,0,0
"167",0,0,0
"168",0,0,0
"169",0,0,0
"170",0,0,0
"171",0,0,0
"172",0,0,0
"173",0,0,0
"174",0,0,0
"175",0,0,0
"176",0,0,0
"177",0,0,0
"178",0,0,0
"179",0,0,0
"180",0,0,0
"181",0,0,0
"182",0,0,0
"183",0,0,0
"184",0,0,0
"185",0,0,0
"186",0,0,0
"187",0,0,0
"188",0,0,0
"189",0,0,0
"190",0,0,0
"191",0,0,0
"192",0,0,0
"193",0,0,0
"194",0,0,0
"195",0,0,0
"196",0,0,0
"197",0,0,0
"198",0,0,0
"199",0,0,0
"200",0,0,0
"201",0,0,0
"202",0,0,0
"203",0,0,0
"204",0,0,0
"205",0,0,0
"206",0,0,0
"207",0,0,0
"208",0,0,0
"209",0,0,0
"210",0,0,0
"211",0,0,0
"212",0,0,0
"213",0,0,0
"214",0,0,0
"215",0,0,0
"216",0,0,0
"217",0,0,0
"218",0,0,0
"219",0,0,0
"220",0,0,0
"221",0,0,0
"222",0,0,0
"223",0,0,0
"224",0,0,0
"225",0,0,0
"226",0,0,0
"227",0,0,0
"228",0,0,0
"229",0,0,0
"230",0,0,0
"231",0,0,0
"232",0,0,0
"233",0,0,0
"234",0,0,0
"235",0,0,0
"236",0,0,0
"237",0,0,0
"238",0,0,0
"239",0,0,0
"240",0,0,0
"241",0,0,0
"242",0,0,0
"243",0,0,0
"244",0,0,0
"245",0,0,0
"246",0,0,0
"247",0,0,0
"248",0,0,0
"249",0,0,0
"250",0,0,0
"251",0,0,0
"252",0,0,0
"253",0,0,0
"254",0,0,0
"255",0,0,0
"256",0,0,0
"257",0,0,0
"258",0,0,0
"259",0,0,0
"260",0,0,0
"261",0,0,0
"262",0,0,0
"263",0,0,0
"264",0,0,0
"265",0,0,0
"266",0,0,0
"267",0,0,0
"268",0,0,0
"269",0,0,0
"270",0,0,0
"271",0,0,0
"272",0,0,0
"273",0,0,0
"274",0,0,0
"275",0,0,0
"276",0,0,0
"277",0,0,0
"278",0,0,0
"279",0,0,0
"280",0,0,0
"281",0,0,0
"282",0,0,0
"283",0,0,0
"284",0,0,0
"285",0,0.57,0
"286",0,0.6,0
"287",0,0.63,0
"288",0,0.64,0
"289",0,0.65,0.4
"290",0,0.66,0.48
"291",0,0.66,0.48
"292",0,0.66,0.48
"293",0,0.67,0.48
"294",0,0.68,0.6
"295",0,0.68,0.64
"296",0,0.68,0.71
"297",0,0.69,0.82
"298",0,0.69,0.9
"299",0,0.69,0.96
"300",0,0.69,0.99
"301",0,0.7,1.04
"302",0,0.7,1.13
"303",0,0.7,1.27
"304",0,0.7,1.42
"305",0,0.72,1.56
"306",0,0.72,1.68
"307",0,0.73,1.76
"308",0.1,0.73,1.8
"309",0.1,0.74,1.91
"310",0.1,0.74,2.06
"311",0.1,0.75,2.23
"312",0.1,0.75,2.47
"313",0.1,0.75,2.72
"314",0.1,0.76,2.83
"315",0.1,0.76,2.93
"316",0.1,0.77,3.11
"317",0.1,0.78,3.33
"318",0.1,0.78,3.59
"319",0.1,0.79,3.89
"320",0.1,0.79,4.19
"321",0.1,0.8,4.19
"322",0.1,0.82,4.46
"323",0.1,0.84,4.6
"324",1.87,0.86,4.81
"325",1.87,0.89,5.07
"326",1.87,0.9,5.32
"327",1.87,0.92,5.61
"328",1.87,0.94,5.78
"329",1.87,0.98,5.91
"330",1.87,1.03,6.13
"331",1.87,1.08,6.41
"332",1.87,1.13,6.72
"333",1.87,1.17,7.05
"334",1.87,1.2,7.37
"335",3.52,1.24,7.57
"336",3.52,1.31,7.78
"337",3.52,1.41,8.02
"338",3.65,1.52,8.26
"339",3.65,1.6,8.53
"340",3.65,1.65,8.85
"341",3.68,1.68,9.12
"342",3.71,1.73,9.36
"343",3.71,1.84,9.54
"344",3.71,1.98,9.78
"345",3.71,2.12,10.07
"346",3.71,2.25,10.41
"347",3.71,2.32,10.98
"348",3.71,2.36,11.14
"349",4.12,2.44,11.4
"350",4.12,2.58,11.61
"351",4.12,2.75,11.89
"352",4.12,2.95,12.19
"353",4.12,3.13,12.47
"354",4.12,3.27,12.8
"355",4.12,3.34,13.12
"356",5.1,3.47,13.35
"357",5.26,3.71,13.54
"358",5.26,4.07,13.79
"359",5.26,4.41,14.1
"360",5.26,4.83,14.48
"361",5.26,5.18,14.91
"362",5.26,5.4,15.34
"363",6.37,5.64,15.64
"364",6.37,6.05,15.88
"365",6.37,6.62,16.24
"366",6.37,7.27,16.68
"367",6.37,7.63,17.24
"368",7.94,7.89,17.8
"369",7.94,7.96,18.26
"370",7.94,8.06,18.55
"371",9.09,8.33,18.74
"372",9.09,8.93,19.15
"373",9.09,9.59,19.68
"374",9.09,10.25,20.28
"375",9.09,10.95,21.02
"376",9.09,11.22,21.6
"377",9.09,11.52,22.02
"378",9.09,11.98,22.4
"379",9.09,12.48,22.8
"380",9.09,13.09,23.34
"381",9.09,13.83,23.97
"382",9.09,14.56,24.52
"383",14.41,14.88,25.05
"384",14.41,15.29,25.38
"385",14.41,15.8,25.64
"386",14.41,16.41,26.04
"387",14.41,17.04,26.54
"388",14.41,17.72,27.11
"389",14.41,18.53,27.68
"390",14.41,18.91,28.18
"391",14.41,19.36,28.51
"392",14.41,19.91,28.77
"393",14.41,20.59,29.15
"394",14.41,21.31,29.63
"395",14.41,21.93,30.15
"396",14.41,22.48,30.75
"397",14.41,22.73,31.15
"398",14.41,22.92,31.38
"399",14.41,23.29,31.57
"400",14.41,23.89,31.92
"401",14.41,24.58,32.39
"402",14.41,25.26,32.97
"403",14.41,25.91,33.49
"404",14.41,26.18,33.97
"405",21.79,26.52,34.35
"406",21.79,27.03,34.66
"407",21.79,27.7,34.98
"408",22.05,28.32,35.38
"409",22.05,28.9,35.76
"410",22.05,29.47,36.21
"411",22.05,29.74,36.57
"412",24.43,30.12,36.82
"413",24.43,30.6,37
"414",24.43,31.14,37.3
"415",24.43,31.76,37.64
"416",24.43,32.38,37.99
"417",24.43,33.2,38.36
"418",24.43,33.57,38.66
"419",27.41,34.06,38.84
"420",27.41,34.62,38.97
"421",27.41,35.25,39.2
"422",27.41,35.89,39.48
"423",27.41,36.53,39.7
"424",27.41,37.14,39.97
"425",27.41,37.44,40.17
"426",29.96,37.73,40.17
"427",29.96,38.23,40.4
"428",29.96,38.74,40.48
"429",29.96,39.29,40.63
"430",29.96,39.86,40.87
"431",29.96,40.55,41.07
"432",29.96,40.94,41.32
"433",32.02,41.38,41.55
"434",32.02,41.84,41.76
"435",32.02,42.31,41.92
"436",32.02,42.76,42.1
"437",32.02,43.21,42.25
"438",32.02,43.68,42.55
"439",32.02,43.95,42.79
"440",33.76,44.29,43.09
"441",33.76,44.63,43.34
"442",33.76,44.97,43.55
"443",33.76,45.3,43.93
"444",33.76,45.6,44.14
"445",33.76,45.95,44.34
"446",33.76,46.11,44.5
"447",34.89,46.17,44.61
"448",34.89,46.53,44.73
"449",34.89,46.78,44.83
"450",34.89,47.04,44.97
"451",34.89,47.3,45.08
"452",34.89,47.59,45.25
"453",34.89,47.77,45.5
"454",35.51,47.97,45.72
"455",35.51,48.2,45.85
"456",35.51,48.45,46.05
"457",35.51,48.74,46.35
"458",36.04,49,46.46
"459",36.58,49.28,46.68
"460",36.83,49.45,46.78
"461",37.1,49.66,46.78
"462",37.36,49.89,46.87
"463",37.36,50.14,46.95
"464",37.36,50.4,47.06
"465",38.46,50.66,47.17
"466",38.46,50.97,47.26
"467",38.46,51.13,47.35
"468",40.15,51.31,47.42
"469",41.05,51.54,47.48
"470",41.05,51.81,47.61
"471",41.05,52.11,47.69
"472",44.25,52.41,47.78
"473",45.38,52.74,47.87
"474",46.59,52.93,47.94
"475",47.36,53.14,48.01
"476",47.36,53.37,48.06
"477",47.36,53.64,48.14
"478",49.14,53.92,48.22
"479",50.25,54.2,48.3
"480",51.23,54.49,48.38
"481",52.06,54.67,48.47
"482",52.95,54.89,48.52
"483",53.57,55.11,48.56
"484",53.57,55.36,48.64
"485",55.31,55.62,48.72
"486",56.43,55.87,48.82
"487",57.52,56.19,48.9
"488",58.48,56.36,48.99
"489",59.46,56.54,49.04
"490",60.4,56.75,49.08
"491",61.36,57,49.16
"492",61.36,57.25,49.25
"493",63.51,57.5,49.33
"494",64.57,57.81,49.42
"495",65.5,57.99,49.5
"496",66.1,58.19,49.55
"497",66.1,58.41,49.61
"498",67.71,58.66,49.69
"499",69.06,58.95,49.76
"500",69.06,59.2,49.86
"501",70.7,59.49,49.98
"502",70.7,59.68,50.06
"503",70.7,59.88,50.16
"504",70.7,60.09,50.22
"505",70.7,60.34,50.3
"506",72.35,60.6,50.43
"507",73.43,60.84,50.55
"508",73.56,61.13,50.67
"509",73.61,61.3,50.79
"510",73.68,61.49,50.87
"511",73.75,61.68,50.95
"512",73.86,61.92,51.07
"513",73.93,62.13,51.19
"514",74.02,62.33,51.33
"515",75.04,62.52,51.47
"516",75.08,62.64,51.59
"517",75.15,62.74,51.69
"518",75.21,62.91,51.77
"519",75.27,63.08,51.91
"520",75.33,63.25,52.03
"521",75.33,63.41,52.19
"522",75.33,63.6,52.32
"523",75.33,63.71,52.32
"524",75.33,63.83,52.32
"525",75.33,63.95,52.53
"526",75.33,64.08,52.66
"527",75.33,64.22,52.76
"528",75.33,64.36,52.9
"529",75.9,64.5,53.02
"530",75.93,64.58,53.13
"531",75.97,64.67,53.22
"532",76.01,64.77,53.31
"533",76.01,64.86,53.43
"534",76.01,64.95,53.55
"535",76.01,65.04,53.69
"536",76.01,65.15,53.83
"537",76.01,65.2,53.93
"538",76.01,65.27,54.03
"539",76.01,65.33,54.12
"540",76.01,65.4,54.23
"541",76.01,65.46,54.29
"542",76.01,65.53,54.4
"543",76.57,65.6,54.52
"544",76.59,65.63,54.61
"545",76.59,65.68,54.68
"546",76.77,65.73,54.68
"547",76.79,65.73,54.81
"548",76.82,65.73,54.89
"549",76.85,65.73,54.96
"550",76.87,65.73,55.05
"551",76.88,65.73,55.15
"552",77.84,65.73,55.24
"553",77.88,65.73,55.32
"554",77.9,65.73,55.42
"555",77.95,65.73,55.49
"556",78.02,65.73,55.58
"557",78.06,65.73,55.67
"558",78.1,65.73,55.67
"559",78.17,65.73,55.67
"560",79.17,65.73,55.81
"561",79.23,65.73,55.88
"562",79.28,65.73,55.98
"563",79.33,65.73,56.09
"564",79.38,65.73,56.17
"565",79.38,65.73,56.24
